Breed,Age (years),Weight (kg),Gender,Spayed/Neutered,Vaccination Status,Fever,Eating Normally,Lethargy,Vomiting,Coughing/Sneezing,Breathing Issue,Rash/Swelling,Wounds/Cuts,Hair Loss,Excessive Scratching,Red/Watery Eyes,Eye Discharge,Ear Odor,Shakes Head,Eating Less,Excessive Drinking,Abnormal Stools,Aggressive/Irritable,Avoiding Interaction,Pacing/Whining,Pain Symptoms,Food Changes,Exposure to Sick Dogs,Predicted Sickness
Yorkshire Terrier,3,5.8,Male,No,Not up to date,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Parvovirus
Belgian Malinois,0,43.8,Male,Yes,Up to date,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Gastrointestinal Infection
Bernese Mountain Dog,9,32.7,Female,Yes,Up to date,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Gastrointestinal Infection
Staffordshire Bull Terrier,6,22.3,Male,No,Up to date,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Skin Allergy
Toy Poodle,10,3.3,Male,No,Not up to date,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Diabetes
Irish Wolfhound,11,38.9,Male,No,Up to date,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Respiratory Infection
Bulldog,6,24.8,Female,Yes,Up to date,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Respiratory Infection
Border Collie,4,17.2,Male,No,Up to date,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Respiratory Infection
Irish Wolfhound,7,59.4,Female,Yes,Not up to date,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Ear Infection
Tibetan Mastiff,7,45.5,Male,Yes,Up to date,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Respiratory Infection
Bernese Mountain Dog,5,40.8,Male,Yes,Not up to date,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Gastrointestinal Infection
Bulldog,9,24.0,Female,No,Not up to date,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Skin Allergy
Toy Poodle,14,6.6,Female,Yes,Up to date,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Gastrointestinal Infection
Yorkshire Terrier,6,6.6,Female,No,Not up to date,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Heart Disease
Mastiff,2,50.4,Male,No,Not up to date,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Respiratory Infection
Bulldog,13,17.1,Male,No,Not up to date,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Diabetes
Dachshund,2,2.6,Female,No,Not up to date,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Gastrointestinal Infection
Australian Shepherd,6,23.1,Male,Yes,Up to date,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Diabetes
Saint Bernard,5,44.3,Female,Yes,Not up to date,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Respiratory Infection
German Shepherd,12,39.7,Male,No,Not up to date,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Worm Infestation
Tibetan Mastiff,9,56.9,Female,No,Up to date,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Respiratory Infection
Great Dane,4,36.8,Female,No,Up to date,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Ear Infection
Tibetan Mastiff,15,39.8,Male,No,Not up to date,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Respiratory Infection
Shetland Sheepdog,15,10.8,Male,No,Up to date,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Gastrointestinal Infection
Irish Wolfhound,4,48.3,Female,Yes,Not up to date,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Skin Allergy
Alaskan Malamute,6,44.4,Male,Yes,Not up to date,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Ear Infection
Saint Bernard,12,52.4,Male,No,Up to date,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Skin Allergy
Mastiff,9,34.3,Female,No,Up to date,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Respiratory Infection
Leonberger,9,44.8,Male,No,Up to date,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Respiratory Infection
Australian Shepherd,5,10.7,Male,No,Not up to date,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Heart Disease
Belgian Malinois,13,53.7,Female,No,Not up to date,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Respiratory Infection
Yorkshire Terrier,2,3.1,Female,Yes,Up to date,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Arthritis
Australian Shepherd,5,19.0,Female,Yes,Up to date,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Diabetes
Toy Poodle,2,5.6,Female,No,Not up to date,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Respiratory Infection
Corgi,3,21.3,Female,Yes,Not up to date,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Heart Disease
Bulldog,2,12.2,Female,No,Up to date,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Gastrointestinal Infection
Yorkshire Terrier,5,6.8,Male,Yes,Not up to date,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Respiratory Infection
Mastiff,12,32.8,Female,No,Not up to date,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Respiratory Infection
Bernese Mountain Dog,13,57.6,Female,No,Not up to date,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Ear Infection
Bernese Mountain Dog,15,40.4,Female,Yes,Up to date,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Respiratory Infection
Bulldog,3,9.1,Male,Yes,Up to date,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Arthritis
Yorkshire Terrier,0,5.6,Female,No,Up to date,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Respiratory Infection
Great Dane,13,58.5,Female,No,Not up to date,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Respiratory Infection
Irish Wolfhound,11,30.7,Male,No,Not up to date,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Ear Infection
Labrador Retriever,7,39.9,Female,No,Not up to date,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Skin Allergy
Tibetan Mastiff,9,39.6,Male,No,Up to date,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Skin Allergy
Toy Poodle,12,4.7,Male,Yes,Up to date,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Respiratory Infection
Beagle,1,10.5,Female,No,Not up to date,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Ear Infection
Alaskan Malamute,14,32.1,Female,Yes,Not up to date,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Parvovirus
Belgian Malinois,2,30.7,Female,Yes,Up to date,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Skin Allergy
Cocker Spaniel,6,23.9,Male,No,Up to date,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Respiratory Infection
Irish Wolfhound,0,50.0,Female,Yes,Not up to date,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Respiratory Infection
German Shepherd,15,35.8,Male,No,Not up to date,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Diabetes
Boxer,0,48.6,Male,No,Not up to date,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Ear Infection
Shetland Sheepdog,11,20.8,Male,No,Up to date,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Parvovirus
Doberman Pinscher,9,43.6,Male,Yes,Up to date,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Ear Infection
Alaskan Malamute,12,27.9,Male,No,Up to date,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Ear Infection
Leonberger,14,52.1,Female,No,Not up to date,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Gastrointestinal Infection
Leonberger,15,46.9,Male,Yes,Up to date,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Parvovirus
Shetland Sheepdog,0,14.8,Female,Yes,Up to date,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Diabetes
Bernese Mountain Dog,10,29.6,Male,Yes,Up to date,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Respiratory Infection
Rottweiler,13,39.9,Male,Yes,Up to date,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Skin Allergy
Mastiff,4,49.8,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Tibetan Mastiff,12,54.2,Male,Yes,Up to date,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Heart Disease
Staffordshire Bull Terrier,10,11.9,Female,Yes,Not up to date,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Respiratory Infection
Siberian Husky,15,59.0,Male,No,Not up to date,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Kennel Cough
Saint Bernard,13,50.9,Male,Yes,Not up to date,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Worm Infestation
Doberman Pinscher,14,26.4,Female,No,Not up to date,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Respiratory Infection
Belgian Malinois,0,29.3,Male,Yes,Not up to date,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Gastrointestinal Infection
Yorkshire Terrier,9,5.3,Female,No,Not up to date,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Skin Allergy
Dachshund,12,6.5,Female,No,Not up to date,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Arthritis
Australian Shepherd,15,12.6,Female,Yes,Not up to date,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Ear Infection
Tibetan Mastiff,13,39.0,Male,No,Not up to date,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Ear Infection
Australian Shepherd,6,10.0,Male,Yes,Not up to date,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Gastrointestinal Infection
Shetland Sheepdog,12,23.9,Female,No,Up to date,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Gastrointestinal Infection
Mastiff,9,54.9,Male,Yes,Up to date,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Ear Infection
Labrador Retriever,7,58.6,Female,No,Up to date,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Skin Allergy
